"id","h_year","age","year_birth","height"
7368,1793,17,1776,48.00
4396,1799,45,1754,66.00
565,1794,27,1767,62.00
3106,1798,24,1774,60.00
4419,1800,38,1762,59.00
3086,1798,23,1775,64.00
7837,1793,14,1779,59.00
3097,1798,25,1773,62.00
8308,1794,27,1767,62.00
4756,1791,23,1768,58.00
4440,1801,29,1772,65.00
4418,1800,26,1774,67.00
7108,1793,30,1763,64.00
6183,1792,62,1730,64.00
7638,1793,29,1764,60.00
1884,1795,24,1771,63.00
5518,1792,20,1772,66.00
3087,1798,24,1774,64.00
1916,1797,25,1772,66.00
5094,1791,40,1751,60.00
4387,1800,45,1755,66.00
3091,1798,31,1767,64.00
3076,1797,14,1783,50.00
7029,1793,19,1774,63.00
5765,1792,23,1769,60.00
4439,1801,37,1764,62.00
1915,1797,40,1757,65.00
7597,1793,23,1770,64.00
1882,1793,25,1768,71.00
219,1793,28,1765,61.00
4390,1800,52,1748,60.00
5952,1792,60,1732,60.00
5067,1791,63,1728,62.00
6939,1793,34,1759,64.00
5964,1792,16,1776,63.00
7944,1793,20,1773,61.00
7969,1793,24,1769,60.00
6286,1792,22,1770,64.00
6665,1792,24,1768,62.00
4702,1791,33,1758,60.00
306,1794,28,1766,67.00
7228,1793,25,1768,64.00
1888,1796,26,1770,55.00
1892,1796,30,1766,60.00
3094,1798,32,1766,53.00
1890,1796,46,1750,62.00
3084,1798,55,1743,51.00
4861,1791,23,1768,62.00
1898,1796,16,1780,62.00
7390,1793,21,1772,60.00
1033,1795,23,1772,63.00
4426,1801,31,1770,54.00
6132,1792,41,1751,64.00
4457,1801,19,1782,63.00
7717,1792,26,1766,60.00
4392,1799,33,1766,66.00
4626,1791,23,1768,66.00
4665,1791,36,1755,65.00
4472,1801,26,1775,58.00
4485,1801,32,1769,67.00
301,1794,24,1770,53.00
1929,1796,27,1769,64.00
7273,1793,34,1759,60.00
8583,1794,25,1769,63.00
4462,1800,29,1771,63.00
1927,1796,34,1762,62.00
1933,1797,24,1773,64.00
8553,1794,32,1762,64.00
8438,1794,26,1768,61.00
5721,1792,28,1764,67.00
4820,1791,27,1764,58.00
3119,1798,30,1768,66.00
1938,1797,28,1769,63.00
3111,1797,32,1765,61.00
1924,1796,20,1776,64.00
4479,1801,19,1782,61.00
7929,1793,20,1773,61.00
6740,1792,25,1767,64.00
3118,1798,49,1749,64.00
4467,1800,19,1781,64.00
1931,1796,56,1740,54.00
8536,1794,64,1730,60.00
3176,1798,18,1780,66.00
3157,1798,32,1766,62.00
8152,1794,40,1754,60.00
336,1794,29,1765,62.00
6679,1792,24,1768,61.00
3150,1798,24,1774,67.00
1983,1797,23,1774,66.00
598,1794,53,1741,62.00
7732,1793,10,1783,62.00
6828,1793,20,1773,62.00
1968,1797,55,1742,66.00
1062,1795,23,1772,62.00
6267,1792,17,1775,48.00
1985,1797,24,1773,60.00
6433,1792,28,1764,64.00
1954,1796,43,1753,66.00
4493,1800,28,1772,62.00
3169,1798,19,1779,58.00
7617,1793,44,1749,66.00
3135,1797,19,1778,66.00
1994,1797,17,1780,65.00
4557,1801,28,1773,66.00
8202,1794,23,1771,64.00
8781,1794,32,1762,62.00
8291,1794,75,1719,57.00
4500,1800,58,1742,68.00
3155,1798,18,1780,62.00
5378,1792,29,1763,65.00
996,1795,23,1772,64.00
1943,1796,19,1777,66.00
116,1794,21,1773,55.00
6940,1793,38,1755,64.00
1991,1797,39,1758,63.00
4555,1801,32,1769,66.00
4541,1801,18,1783,58.00
4535,1801,22,1779,64.00
4522,1801,52,1749,67.00
28,1794,12,1782,53.00
1970,1797,31,1766,63.00
6976,1793,25,1768,65.00
4533,1801,35,1766,58.00
8681,1794,26,1768,56.00
3173,1798,40,1758,65.00
6657,1792,31,1761,63.00
4538,1801,45,1756,65.00
320,1794,35,1759,64.00
6741,1792,20,1772,64.00
4828,1791,25,1766,57.00
7480,1793,53,1740,48.00
6653,1792,22,1770,65.00
175,1794,33,1761,62.00
321,1794,23,1771,64.00
4790,1791,27,1764,61.00
6555,1792,18,1774,64.00
3126,1797,32,1765,65.00
6718,1792,25,1767,64.00
6890,1793,23,1770,61.00
1981,1797,32,1765,65.00
3147,1798,30,1768,50.00
7989,1793,33,1760,51.00
7305,1793,25,1768,60.00
3149,1798,32,1766,64.00
4559,1801,72,1729,60.00
1958,1796,24,1772,64.00
3159,1798,30,1768,64.00
1972,1797,32,1765,66.00
4605,1801,23,1778,64.00
3238,1798,29,1769,63.00
7083,1793,25,1768,61.00
6184,1792,21,1771,64.00
8679,1794,28,1766,55.00
