"id","h_year","age","year_birth","height"
13067,1890,15,1875,56.25
19074,1891,40,1851,56.25
22342,1892,46,1846,56.25
26594,1893,40,1853,56.25
29149,1894,29,1865,56.25
30214,1894,19,1875,56.25
30863,1894,40,1854,56.25
31379,1895,45,1850,56.25
33716,1895,40,1855,56.25
40890,1897,38,1859,56.25
41489,1897,38,1859,56.25
55047,1901,25,1876,56.25
62598,1903,50,1853,56.25
67860,1904,25,1879,56.25
70585,1905,19,1886,56.25
78929,1907,43,1864,56.25
84424,1908,31,1877,56.25
98356,1911,39,1872,56.25
122378,1917,62,1855,56.25
130639,1922,35,1887,56.25
684,1881,24,1857,56.50
922,1881,71,1810,56.50
1902,1881,57,1824,56.50
1963,1881,30,1851,56.50
2424,1881,20,1861,56.50
2581,1881,32,1849,56.50
2620,1881,28,1853,56.50
4032,1881,25,1856,56.50
5502,1882,23,1859,56.50
5958,1882,26,1856,56.50
6371,1882,23,1859,56.50
6712,1882,69,1813,56.50
6729,1882,58,1824,56.50
6832,1882,31,1851,56.50
6940,1882,21,1861,56.50
8378,1882,27,1855,56.50
8451,1882,42,1840,56.50
8582,1889,21,1868,56.50
8896,1889,45,1844,56.50
9486,1889,46,1843,56.50
9848,1889,45,1844,56.50
10169,1889,32,1857,56.50
10841,1889,55,1834,56.50
11457,1889,29,1860,56.50
13267,1890,43,1847,56.50
14809,1890,40,1850,56.50
16081,1890,40,1850,56.50
16451,1890,42,1848,56.50
18107,1891,57,1834,56.50
18118,1891,28,1863,56.50
19601,1892,21,1871,56.50
19641,1892,62,1830,56.50
20599,1892,34,1858,56.50
21232,1892,34,1858,56.50
22112,1892,23,1869,56.50
24463,1893,40,1853,56.50
26085,1893,24,1869,56.50
26281,1893,27,1866,56.50
27116,1894,23,1871,56.50
27575,1894,79,1815,56.50
28042,1894,37,1857,56.50
28946,1894,29,1865,56.50
29271,1894,24,1870,56.50
29313,1894,59,1835,56.50
30057,1894,21,1873,56.50
32138,1895,25,1870,56.50
32206,1895,31,1864,56.50
33475,1895,45,1850,56.50
34764,1896,50,1846,56.50
36101,1896,24,1872,56.50
40669,1897,33,1864,56.50
41126,1897,28,1869,56.50
41830,1897,48,1849,56.50
43539,1898,55,1843,56.50
43540,1898,19,1879,56.50
44566,1898,33,1865,56.50
44789,1898,38,1860,56.50
45387,1898,32,1866,56.50
45584,1898,49,1849,56.50
48276,1899,50,1849,56.50
49628,1899,49,1850,56.50
49692,1899,34,1865,56.50
50425,1900,21,1879,56.50
50907,1900,39,1861,56.50
53612,1901,56,1845,56.50
55082,1901,45,1856,56.50
55168,1901,57,1844,56.50
56011,1901,50,1851,56.50
56860,1901,50,1851,56.50
59320,1902,52,1850,56.50
59899,1902,57,1845,56.50
64884,1904,27,1877,56.50
66985,1904,36,1868,56.50
67497,1904,59,1845,56.50
67633,1904,34,1870,56.50
68544,1905,39,1866,56.50
68935,1905,54,1851,56.50
69221,1905,38,1867,56.50
