"id","h_year","age","year_birth","height"
7220,1827,27,1800,62
7221,1826,20,1806,66
7222,1826,25,1801,63.25
7223,1827,20,1807,56.5
7224,1827,22,1805,58
7225,1827,20,1807,62
7226,1827,22,1805,62.5
7227,1827,20,1807,60.5
7228,1827,30,1797,61.5
7229,1826,30,1796,60.25
7230,1827,30,1797,62.5
7231,1827,20,1807,63
7232,1826,46,1780,59
7233,1827,26,1801,61
7234,1826,19,1807,60.75
7235,1827,25,1802,61
7236,1827,25,1802,63.25
7237,1824,18,1806,57.75
7238,1827,26,1801,61.5
7239,1827,22,1805,59
7241,1827,30,1797,62.75
7243,1827,52,1775,61.5
7244,1827,20,1807,64.5
7245,1827,18,1809,58.5
7246,1826,25,1801,59.75
7247,1826,40,1786,59
7248,1827,32,1795,60.5
7249,1826,42,1784,63
7250,1826,21,1805,62
7251,1827,27,1800,60.25
7252,1827,27,1800,61
7253,1827,17,1810,62.5
7254,1827,23,1804,66.25
7255,1826,41,1785,64
7256,1826,34,1792,62.75
7257,1827,21,1806,61.5
7258,1826,30,1796,57.5
7259,1827,20,1807,70.25
7260,1827,18,1809,64.25
7261,1827,19,1808,60.25
7262,1827,18,1809,59
7263,1827,28,1799,60.5
7264,1827,28,1799,62.5
7265,1827,28,1799,61.25
7266,1827,28,1799,59.75
7267,1827,17,1810,60.75
7268,1827,24,1803,61.5
7269,1827,20,1807,64.5
7270,1826,20,1806,58.5
7271,1826,30,1796,60.5
7272,1827,35,1792,59.5
7273,1827,50,1777,63
7274,1827,20,1807,60.5
7275,1827,37,1790,62
7277,1827,28,1799,64
7278,1826,23,1803,60.5
7282,1827,21,1806,63.25
7285,1826,36,1790,63.75
7286,1827,32,1795,59
7287,1826,26,1800,57
7288,1827,21,1806,62.5
7289,1826,26,1800,61.25
7290,1827,29,1798,59.75
7291,1826,23,1803,60.75
7292,1826,22,1804,63.5
7293,1827,24,1803,59
7294,1827,30,1797,63.5
7295,1827,30,1797,61
7298,1827,28,1799,63.5
7299,1827,28,1799,63
7300,1828,19,1809,57
7301,1827,40,1787,63
7302,1828,31,1797,62.5
7303,1827,28,1799,57.5
7304,1827,38,1789,64.5
7305,1827,21,1806,58.25
7306,1828,18,1810,57.75
7307,1827,22,1805,60.5
7308,1827,23,1804,61.25
7309,1827,20,1807,62.25
7310,1827,19,1808,59
7311,1827,22,1805,60.75
7312,1827,19,1808,60
7313,1827,29,1798,61.5
7314,1827,47,1780,62.5
7315,1827,22,1805,60
7316,1827,29,1798,62.5
7317,1827,48,1779,58.25
7318,1827,30,1797,58.5
7319,1827,23,1804,61.25
7320,1828,34,1794,58.5
7321,1827,40,1787,61.5
7322,1827,19,1808,61.25
7323,1827,20,1807,61.5
7324,1827,26,1801,59.25
7325,1827,18,1809,60.75
7326,1827,32,1795,56.5
7327,1827,23,1804,62.75
7328,1827,27,1800,53.5
7329,1827,40,1787,66
7330,1827,25,1802,62.75
7331,1827,43,1784,64
7332,1827,31,1796,62
7333,1827,23,1804,58.5
7334,1827,33,1794,62.25
7335,1828,32,1796,65.75
7336,1827,21,1806,61.75
7337,1827,34,1793,61.25
7338,1827,26,1801,64
7339,1828,29,1799,62.5
7341,1827,21,1806,61.5
7342,1827,21,1806,59
7343,1827,24,1803,62.25
7344,1827,33,1794,59.5
7345,1827,25,1802,59
7346,1827,28,1799,64.25
7347,1828,22,1806,59.25
7349,1827,17,1810,62
7350,1827,25,1802,68.5
7351,1828,20,1808,59.5
7352,1827,23,1804,60.25
7353,1828,34,1794,63.75
7355,1827,35,1792,60
7356,1828,33,1795,64.25
7357,1827,23,1804,61.5
7358,1827,18,1809,60.5
7359,1827,29,1798,61
7360,1828,26,1802,64.75
7361,1827,21,1806,61
7363,1827,23,1804,60
7365,1827,19,1808,60.5
7366,1827,30,1797,65.75
7367,1827,21,1806,58.5
7368,1827,17,1810,59
7369,1827,19,1808,65.5
7370,1827,44,1783,60.5
7371,1828,35,1793,58.5
7372,1828,27,1801,63.25
7374,1827,23,1804,63.5
7375,1827,19,1808,61.25
7376,1827,22,1805,62
7377,1827,20,1807,61.5
7378,1828,25,1803,65.75
7379,1827,32,1795,57
7380,1827,25,1802,62.5
7381,1827,43,1784,58.5
7382,1828,16,1812,60.5
7383,1827,25,1802,64.25
7384,1827,24,1803,66
7385,1827,17,1810,63
7386,1827,19,1808,59.5
7387,1827,25,1802,63.5
7388,1828,24,1804,63.25
7389,1827,35,1792,60.75
7390,1827,21,1806,65.25
7391,1827,28,1799,61.5
7392,1827,21,1806,65
7393,1827,21,1806,61
7394,1827,35,1792,57.25
7395,1827,27,1800,62.5
7396,1827,35,1792,62.5
7397,1827,23,1804,64.25
7398,1827,25,1802,59.25
7399,1827,25,1802,64.5
7400,1827,34,1793,63
7401,1828,19,1809,64.5
7402,1828,46,1782,65
7403,1828,14,1814,56
7405,1828,30,1798,58
7406,1828,50,1778,61.5
7407,1827,33,1794,62
7408,1828,62,1766,65.5
7409,1827,26,1801,65
7410,1828,38,1790,62.5
7412,1828,48,1780,63
7413,1828,46,1782,58.5
7414,1827,30,1797,60.5
7415,1827,20,1807,63
7416,1828,19,1809,62
7417,1827,27,1800,65
7418,1827,21,1806,61.25
7419,1828,49,1779,61
7420,1827,21,1806,59.5
7421,1828,23,1805,60
7422,1827,20,1807,64.5
7423,1828,22,1806,50.5
7424,1828,28,1800,66
7425,1827,28,1799,62.5
7426,1828,36,1792,62
7427,1828,26,1802,64
7428,1827,34,1793,64
7429,1828,22,1806,57.25
7430,1828,23,1805,64.5
7431,1827,20,1807,60
7432,1827,20,1807,64
7433,1827,32,1795,60.5
7434,1828,19,1809,66.5
7435,1827,20,1807,58
7436,1827,37,1790,58
7437,1827,26,1801,61
7438,1828,26,1802,61
7439,1827,24,1803,63
7440,1828,19,1809,62
7441,1828,21,1807,62
7442,1827,36,1791,64
7443,1828,19,1809,64
7444,1827,27,1800,62
7445,1827,20,1807,66
7446,1827,40,1787,62.5
7447,1827,30,1797,59.5
7448,1827,21,1806,66
7449,1825,18,1807,59
7450,1828,33,1795,61.5
7452,1827,37,1790,63.5
7453,1827,46,1781,65
7455,1827,30,1797,66.5
7456,1828,30,1798,59
7457,1827,21,1806,60.75
7458,1827,28,1799,63.5
7459,1828,21,1807,62.5
7460,1827,24,1803,61.5
7461,1828,31,1797,64.5
7462,1827,30,1797,63.5
7463,1827,23,1804,62.5
7464,1827,38,1789,63.5
7465,1828,21,1807,62
7466,1827,30,1797,61.25
7467,1827,21,1806,60
7468,1827,27,1800,62.5
7469,1828,40,1788,62.5
7470,1828,19,1809,60
7471,1827,27,1800,61
7472,1827,35,1792,64.5
7473,1827,37,1790,62
7474,1828,22,1806,59.75
7475,1827,18,1809,63.5
7476,1828,29,1799,59.5
7477,1828,45,1783,62
